['ARCB', 27.100000000000001]
['ACGL', 95.909999999999997]
['ACGLO', nan]
['ACGLP', 23.629999999999999]
['APLP', 13.84]
['FUV', nan]
['ARCT', 8.1799999999999997]
['ARDX', 7.0199999999999996]
['ARNA', 21.140000000000001]
['ARCC', 15.77]
['ARGX', nan]
['AGII', 61.520000000000003]
['AGIIL', 24.670000000000002]
['ARGS', 0.31]
['ARKR', 24.23]
['ARTX', 3.5600000000000001]
['ARQL', 1.1699999999999999]
['ARRY', 9.5800000000000001]
['ARRS', 27.68]
['DWAT', 11.15]
['AROW', 32.549999999999997]
['ARWR', 2.52]
['ASNS', nan]
['ARTNA', 37.640000000000001]
['ARTW', 2.8300000000000001]
['ASNA', 2.4900000000000002]
['ASND', 30.260000000000002]
['ASCMA', 13.18]
['APWC', nan]
['ASML', 152.03999999999999]
['ASPU', 6.5300000000000002]
['AZPN', 61.25]
['ASMB', 28.539999999999999]
['ASFI', 7.5800000000000001]
['ASTE', 54.729999999999997]
['ATRO', 31.940000000000001]
['ALOT', 13.58]
['ASTC', 4.5499999999999998]
['ASUR', 12.609999999999999]
['ASV', nan]
['ATAI', 4.3300000000000001]
['ATRA', 15.390000000000001]
['ATHN', 128.94]
['ATNX', nan]
['ATHX', 1.71]
['ATAC', nan]
['ATACR', None]
['ATACU', None]
['AAME', 3.5800000000000001]
['ACBI', 18.129999999999999]
['ACFC', 8.2400000000000002]
['AY', 20.609999999999999]
['ATLC', nan]
['AAWW', 57.950000000000003]
['AFH', 16.309999999999999]
['AFHBL', None]
['TEAM', 38.200000000000003]
['ATNI', 61.240000000000002]
['ATOM', 4.75]
['ATOS', 0.52000000000000002]
['ATRC', 21.100000000000001]
['ATRI', 599.75]
['ATTU', 7.1900000000000004]
['LIFE', 3.6800000000000002]
['AUBN', 34.740000000000002]
['BOLD', 21.25]
['AUDC', 6.8099999999999996]
['AUPH', 6.3200000000000003]
['EARS', 0.72999999999999998]
['ADSK', 107.19]
['ADP', 106.16]
['AUTO', 10.23]
['AVDL', 9.6600000000000001]
['ATXI', nan]
['AVEO', 2.2200000000000002]
['AVXS', 87.430000000000007]
['AVNW', 16.690000000000001]
['AVID', 5.0599999999999996]
['AVGR', 0.5]
['AVIR', 0.59999999999999998]
['CAR', 32.759999999999998]
['AHPA', 9.9000000000000004]
['AHPAU', None]
['AHPAW', None]
['AWRE', 4.7300000000000004]
['ACLS', 24.32]
['AXGN', 17.350000000000001]
['AAXN', 23.859999999999999]
['AXON          ', None]
['AXSM', 4.8099999999999996]
['AXTI', 7.6900000000000004]
['AYTU', 8.6199999999999992]
['AZRX', 3.6600000000000001]
['BCOM', 16.920000000000002]
['RILY', 16.379999999999999]
['RILYG', nan]
['RILYL', 25.850000000000001]
['RILYZ', nan]
['BOSC', 1.97]
['BIDU', 211.63999999999999]
['BCPC', 80.109999999999999]
['BWINA', 22.73]
['BWINB', 23.09]
['BLDP', 3.5600000000000001]
['BANF', 50.640000000000001]
['BANFP', 26.93]
['BCTF', 13.82]
['BAND', nan]
['BKMU', 9.6199999999999992]
['BOCH', 11.02]
['BMRC', 65.400000000000006]
['BKSC', 19.190000000000001]
['BOTJ', nan]
['OZRK', 46.259999999999998]
['BFIN', 15.289999999999999]
['BWFG', 33.82]
['BANR', 55.840000000000003]
['BZUN', 26.760000000000002]
['TAPR', 22.899999999999999]
['BHAC', 10.41]
['BHACR', None]
['BHACU', None]
['BHACW', None]
['BBSI', 57.079999999999998]
['BSET', 34.060000000000002]
['BYBK', 8.9000000000000004]
['BV', 4.7699999999999996]
['BCBP', 14.640000000000001]
['BECN', 50.789999999999999]
['BSF', 9.6600000000000001]
['BBGI', 10.82]
['BBBY', 29.030000000000001]
['BGNE', 66.189999999999998]
['BELFA', nan]
['BELFB', 26.120000000000001]
['BLPH', 1.4399999999999999]
['BLCM', 11.09]
['BNCL', 15.710000000000001]
['BNFT', 30.399999999999999]
['BNTC', 2.4399999999999999]
['BNTCW', None]
['BYSI', 33.399999999999999]
['BGCP', 13.02]
['BGFV', 10.220000000000001]
['BRPA', nan]
['BRPAR', nan]
['BRPAU', nan]
['BRPAW', None]
['BASI', 1.78]
['ORPN', 2.6899999999999999]
['BIOC', 1.3200000000000001]
['BCRX', 5.5700000000000003]
['BDSI', 2.5899999999999999]
['BIIB', 292.36000000000001]
['BKYI', 2.6000000000000001]
['BIOL', 0.84999999999999998]
['BLFS', 3.8799999999999999]
['BLRX', 1.0]
['BMRN', 88.769999999999996]
['BMRA', nan]
['BVXV', 7.1900000000000004]
['BVXVW', None]
['BPTH', 0.41999999999999998]
['BIOS', 2.3700000000000001]
['BSTC', 48.799999999999997]
['BSPM', 1.6699999999999999]
['TECH', 116.78]
['BEAT', 30.920000000000002]
['BIVV', 56.409999999999997]
['BCAC', nan]
['BCACR', None]
['BCACU', None]
['BCACW', None]
['BJRI', 36.130000000000003]
['BBOX', 5.9900000000000002]
['BRAC', nan]
['BRACR', None]
['BRACU', None]
['BRACW', None]
['BLKB', 87.170000000000002]
['HAWK', 40.399999999999999]
['BL', 33.68]
['BKCC', 7.0999999999999996]
['ADRA', 31.739999999999998]
['ADRD', 22.100000000000001]
['ADRE', 40.119999999999997]
['ADRU', 21.629999999999999]
['BLMN', 19.16]
['BCOR', 21.27]
['BLBD', 18.469999999999999]
['BUFF', 25.690000000000001]
['BHBK', 18.719999999999999]
['BLUE', 116.79000000000001]
['BKEP', 5.8399999999999999]
['BKEPP', nan]
['BPMC', 54.310000000000002]
['BMCH', 21.710000000000001]
['BMLP', 48.149999999999999]
['BOBE', 68.849999999999994]
['BOFI', 25.760000000000002]
['BOFIL', 25.219999999999999]
['WIFI', 18.370000000000001]
['BOJA', 15.369999999999999]
['BOKF', 83.159999999999997]
['BOKFL', 24.73]
['BNSO', 2.48]
['BRQS', nan]
['BOMN', nan]
['BPFH', 15.4]
['BPFHP', 25.07]
['BPFHW', None]
['EPAY', 28.68]
['BOXL', nan]
['BCLI', 4.1399999999999997]
['BBRG', 3.48]
['BDGE', 33.5]
['BLIN          ', None]
['BRID', 12.56]
['BCOV', 7.1100000000000003]
['BHF', nan]
['AVGO', 242.08000000000001]
['BSFT', 46.07]
['BVSN', nan]
['BYFC', 2.1699999999999999]
['BWEN', 4.4500000000000002]
['BPY', 22.440000000000001]
['BRKL', 14.75]
['BRKS', 26.0]
['BRKR', 28.600000000000001]
['BMTC', 41.869999999999997]
['BLMT', 29.32]
['BSQR', 5.0700000000000003]
['BWLD', 131.59999999999999]
['BLDR', 16.510000000000002]
['BUR', 0.88]
['CFFI', 51.119999999999997]
['CHRW', 73.640000000000001]
['CA', 32.380000000000003]
['CCMP', 79.659999999999997]
['CDNS', 37.259999999999998]
['CDZI', 13.460000000000001]
['CZR', 11.82]
['CSTE', 31.760000000000002]
['PRSS', 2.2999999999999998]
['CLBS', 4.0999999999999996]
['CHY', 11.300000000000001]
['CHI', 10.890000000000001]
['CCD', 19.41]
['CHW', 8.3399999999999999]
['CGO', 12.859999999999999]
['CSQ', 11.460000000000001]
['CAMP', 19.809999999999999]
['CVGW', 68.950000000000003]
['CALA', 13.880000000000001]
['CALD', 24.129999999999999]
['CALM', 39.890000000000001]
['CLMT', 6.0199999999999996]
['CLXT', nan]
['ABCD', 5.4299999999999997]
['CATC', 68.790000000000006]
['CAC', 41.969999999999999]
['CAMT', 4.9100000000000001]
['CSIQ', 15.42]
['CGIX', 3.3300000000000001]
['CPHC', 11.779999999999999]
['CPLA', 79.480000000000004]
['CCBG', 21.600000000000001]
['CPLP', 3.3500000000000001]
['CSWC', 16.09]
['CSWCL', nan]
['CPTA', 10.58]
['CPTAG', nan]
['CPTAL', nan]
['CFFN', 13.65]
['CAPR', 1.8300000000000001]
['CSTR', 18.829999999999998]
['CPST', 0.75]
['CARA', 14.91]
['CARB', 21.48]
['CRME', 2.8999999999999999]
['CSII', 28.68]
['CATM', 29.859999999999999]
['CDNA', 2.9900000000000002]
['CECO', 10.17]
['CTRE', 18.030000000000001]
['CARG', nan]
['CARO', 33.380000000000003]
['CART', nan]
['CRZO', 19.34]
['TAST', 12.31]
['CARV', 3.1499999999999999]
['CASM', 1.0]
['CASA', nan]
['CASC', 3.9700000000000002]
['CWST', 16.859999999999999]
['CASY', 110.43000000000001]
['CASI', 1.6200000000000001]
['CASS', 58.219999999999999]
['CATB', 1.5800000000000001]
['CBIO', 5.2300000000000004]
['CPRX', 2.6400000000000001]
['CATS', 5.2000000000000002]
['CATY', 38.259999999999998]
['CATYW', None]
['CVCO', 132.93000000000001]
['CAVM', 70.109999999999999]
['CBFV', 27.739999999999998]
['CBAK', 1.5]
['CBOE', 98.329999999999998]
['CBTX', nan]
['CDK', 64.030000000000001]
['CDW', 63.020000000000003]
['CECE', 8.5399999999999991]
['CELC', nan]
['CELG', 124.11]
['CELGZ', 1.1699999999999999]
['CLDX', 2.8100000000000001]
['APOP', 8.0600000000000005]
['APOPW', None]
['CLRB', 1.6899999999999999]
['CLRBW', None]
['CLRBZ', None]
['CLLS', 25.5]
['CBMG', 9.6699999999999999]
['CLSN', 1.76]
['CELH', 4.5800000000000001]
['CYAD', 42.840000000000003]
['CETX', 3.1400000000000001]
['CETXP', nan]
['CETXW', None]
['CDEV', 17.539999999999999]
